"Index","Month_of_issue","District","Category","Year","Actual SPI Value","Probability","Actual Drought","0%","1%","2%","3%","4%","5%","6%","7%","8%","9%","10%","11%","12%","13%","14%","15%","16%","17%","18%","19%","20%","21%","22%","23%","24%","25%","26%","27%","28%","29%","30%","31%","32%","33%","34%","35%","36%","37%","38%","39%","40%","41%","42%","43%","44%","45%","46%","47%","48%","49%","50%","51%","52%","53%","54%","55%","56%","57%","58%","59%","60%","61%","62%","63%","64%","65%","66%","67%","68%","70%","71%","73%","74%"
"SPI DJ",7,"Changara","Moderado",1998,0.66,0.35,0,1,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,1,1,NA,1,1,1,1,1,1,1,1,1,NA,1,1,NA,1,NA,1,NA,1,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SPI DJ",7,"Changara","Moderado",1999,1.7,0,0,0,NA,NA,0,NA,NA,NA,NA,NA,0,NA,NA,0,0,NA,0,0,0,0,0,0,0,0,0,NA,0,0,NA,0,NA,0,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SPI DJ",7,"Changara","Moderado",2000,-0.43,0.19,0,1,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,1,1,NA,1,1,1,1,0,0,0,0,0,NA,0,0,NA,0,NA,0,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SPI DJ",7,"Changara","Moderado",2001,-0.53,0.17,0,1,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,1,1,NA,1,1,0,0,0,0,0,0,0,NA,0,0,NA,0,NA,0,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SPI DJ",7,"Changara","Moderado",2002,0.19,0.26,0,1,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,1,1,NA,1,1,1,1,1,1,1,1,1,NA,1,0,NA,0,NA,0,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SPI DJ",7,"Changara","Moderado",2003,-0.45,0.22,0,1,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,1,1,NA,1,1,1,1,1,1,1,0,0,NA,0,0,NA,0,NA,0,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SPI DJ",7,"Changara","Moderado",2004,-0.24,0.23,0,1,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,1,1,NA,1,1,1,1,1,1,1,1,0,NA,0,0,NA,0,NA,0,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SPI DJ",7,"Changara","Moderado",2005,0.77,0.17,0,1,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,1,1,NA,1,1,0,0,0,0,0,0,0,NA,0,0,NA,0,NA,0,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SPI DJ",7,"Changara","Moderado",2006,0.68,0.15,0,1,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,1,1,NA,0,0,0,0,0,0,0,0,0,NA,0,0,NA,0,NA,0,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SPI DJ",7,"Changara","Moderado",2007,0.31,0.3,0,1,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,1,1,NA,1,1,1,1,1,1,1,1,1,NA,1,1,NA,1,NA,0,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SPI DJ",7,"Changara","Moderado",2008,1.4,0.09,0,1,NA,NA,1,NA,NA,NA,NA,NA,0,NA,NA,0,0,NA,0,0,0,0,0,0,0,0,0,NA,0,0,NA,0,NA,0,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SPI DJ",7,"Changara","Moderado",2009,0.39,0.13,0,1,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,1,0,NA,0,0,0,0,0,0,0,0,0,NA,0,0,NA,0,NA,0,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SPI DJ",7,"Changara","Moderado",2010,-0.49,0.16,0,1,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,1,1,NA,1,0,0,0,0,0,0,0,0,NA,0,0,NA,0,NA,0,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SPI DJ",7,"Changara","Moderado",2011,1.06,0.03,0,1,NA,NA,0,NA,NA,NA,NA,NA,0,NA,NA,0,0,NA,0,0,0,0,0,0,0,0,0,NA,0,0,NA,0,NA,0,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SPI DJ",7,"Changara","Moderado",2012,0.11,0.28,0,1,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,1,1,NA,1,1,1,1,1,1,1,1,1,NA,1,1,NA,0,NA,0,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SPI DJ",7,"Changara","Moderado",2013,0.49,0.25,0,1,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,1,1,NA,1,1,1,1,1,1,1,1,1,NA,0,0,NA,0,NA,0,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SPI DJ",7,"Changara","Moderado",2014,0.12,0.12,0,1,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,0,0,NA,0,0,0,0,0,0,0,0,0,NA,0,0,NA,0,NA,0,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SPI DJ",7,"Changara","Moderado",2015,1.26,0.16,0,1,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,1,1,NA,1,0,0,0,0,0,0,0,0,NA,0,0,NA,0,NA,0,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SPI DJ",7,"Changara","Moderado",2016,-1.31,0.32,1,1,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,1,1,NA,1,1,1,1,1,1,1,1,1,NA,1,1,NA,1,NA,1,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SPI DJ",7,"Changara","Moderado",2017,1.15,0.21,0,1,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,1,1,NA,1,1,1,1,1,1,0,0,0,NA,0,0,NA,0,NA,0,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SPI DJ",7,"Changara","Moderado",2018,-2.23,0.16,1,1,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,1,1,NA,1,0,0,0,0,0,0,0,0,NA,0,0,NA,0,NA,0,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SPI DJ",7,"Changara","Moderado",2019,0.8,0.2,0,1,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,1,1,NA,1,1,1,1,1,0,0,0,0,NA,0,0,NA,0,NA,0,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SPI DJ",7,"Changara","Moderado",2020,-0.5,0.13,0,1,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,1,0,NA,0,0,0,0,0,0,0,0,0,NA,0,0,NA,0,NA,0,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SPI DJ",7,"Changara","Moderado",2021,1.03,0.16,0,1,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,1,1,NA,1,0,0,0,0,0,0,0,0,NA,0,0,NA,0,NA,0,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SPI DJ",7,"Changara","Severo",1994,-1.11,0.16,1,1,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,NA,1,1,0,0,NA,0,0,0,NA,NA,0,NA,0,0,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SPI DJ",7,"Changara","Severo",1995,0.08,0.15,0,1,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,NA,1,0,0,0,NA,0,0,0,NA,NA,0,NA,0,0,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
